term,suspicionScore,issues,mediaType,mediaUrl,sourceUrl
"TRUE",20,"video_despite_gif_candidate,sentence_like_video_filename,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/you-like-true-false-test.mp4","https://www.lifeprint.com/asl101/pages-signs/t/true.htm"
"what-TIME",20,"video_despite_gif_candidate,sentence_like_video_filename,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/you-go-asl-class-what-time.mp4","https://www.lifeprint.com/asl101/pages-signs/t/time.htm"
"WORRY",20,"video_despite_gif_candidate,sentence_like_video_filename,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/before-test-you-worry.mp4","https://www.lifeprint.com/asl101/pages-signs/w/worry.htm"
"BIRTHDAY",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/6Ag2Q2J9DAU?rel=0","https://www.lifeprint.com/asl101/pages-signs/b/birthday.htm"
"BLANKET",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/0zSHZngEFRU?rel=0","https://www.lifeprint.com/asl101/pages-signs/b/blanket.htm"
"BODY",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/kyU5Z7b8EKs?rel=0","https://www.lifeprint.com/asl101/pages-signs/b/body.htm"
"BRIGHT",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.lifeprint.com/asl101/videos/clear.mp4","https://www.lifeprint.com/asl101/pages-signs/b/bright.htm"
"Cardinal and Ordinal Numbers",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.lifeprint.com/asl101/videos/numbers-1-to-5_player.mp4","https://www.lifeprint.com/asl101/pages-signs/n/numbersordianlandcardinal.htm"
"CHRISTMAS",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/DMdPpkiUJso","https://www.lifeprint.com/asl101/pages-signs/c/christmas.htm"
"DELICIOUS",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/xxKnfrh-tdE?rel=0","https://www.lifeprint.com/asl101/pages-signs/d/delicious.htm"
"DEPOSIT",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/G3LICbWdIb8?rel=0","https://www.lifeprint.com/asl101/pages-signs/d/deposit.htm"
"don't-LIKE",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/8uIg8r1awC4?rel=0","https://www.lifeprint.com/asl101/pages-signs/d/dont-like.htm"
"DOTS",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/B-GrGs17ljA?rel=0","https://www.lifeprint.com/asl101/pages-signs/d/dots.htm"
"DUTY",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/IEVgcJA3JWk?rel=0","https://www.lifeprint.com/asl101/pages-signs/d/duty.htm"
"EAST",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/jluBmwvfPyE?rel=0","https://www.lifeprint.com/asl101/pages-signs/e/east.htm"
"FRISBEE",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/kzuiLQ-ZCxI?rel=0","https://www.lifeprint.com/asl101/pages-signs/f/frisbee.htm"
"FROM-NOW-ON, from then on",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/AZqgw-USe2I?rel=0&amp;autoplay=1","https://www.lifeprint.com/asl101/pages-signs/f/from-now-on.htm"
"GOSSIP",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/vv8D34vy3pY?rel=0","https://www.lifeprint.com/asl101/pages-signs/g/gossip.htm"
